ID,Site Name,Forest,County,"Elevation(Feet)",Latitude,Longitude,"Township,Range,Section,Meridian",USGS 7.5 min. map,Photographer,Taken On,imgOriginal,imgRecreated
94,Black Bu,Deschutes,"Jefferson, OR",6436,44.399835,121.635378,T13S_R9E_S34_WM,"Black Butte, OR",ARNST,10/23/1935,,
95,Black Crater,Deschutes,"Deschutes, OR",7251,44.265965,121.748457,T15S_R8E_S14_WM,"Black Crater, OR",_,11/2/1929,,
96,Black Mtn,Ochoco,"Crook, OR",5316,44.37893,120.098633,T14S_R22E_S9_WM,"Peterson Point, OR",_,8/25/1936,,
97,Black Ridge Sta. 1,Chelan,"Okanogan, WA",7000,48.341349,120.480288,T33N_R19E_S21_WM,"Sun Mountain, WA",G.B.C.,9/20/1934,,
98,Black Ridge Sta. 2,Chelan,"Okanogan, WA",7330,48.338109,120.48638,T33N_R19E_S21_WM,"Sun Mountain, WA",G.B.C.,9/20/1934,,
99,Black Rk,Umpqua,"Douglas, OR",6150,43.15946,122.463793,T28S_R3E_S4_WM,"Fish Creek Desert, OR",RITTEMHOUSE-SNYDER,8/5/1933,,
100,"Black Rk., Little",Umpqua,"Douglas, OR",4538,43.12672,122.533688,T28S_R2E_S24_WM,"Twin Lakes Mountain, OR",_,8/5/1936,,
101,Blackjack Rg,Mt. Baker,"Snohomish, WA",4883,48.05237,121.596022,T30N_R9E_S26_WM,"Silverton, WA",CLISBY,8/25/1935,,
102,Blue Ridge,ODFSW,"Coos, OR",1600,43.27099,124.086404,T26S_R12W_S35_WM,"Daniels Creek, OR",S.L.M.,7/16/1936,,
103,Blue Rk,Rogue River,"Jackson, OR",6588,42.53485,122.297622,T35S_R4E_S12_WM,"Rustler Peak, OR",_,8/9/1936,,
104,Bly Coop,Fremont,"Klamath, OR",4353,42.396461,121.042197,T37S_R14E_S3_WM,"Bly, OR",RITTENHOUSE,5/14/1934,,
105,Blyn,Olympic,"Clallam, WA",1966,48.006405,122.972109,T29N_R2W_S18_WM,"Gardiner, WA",SARLIN,6/11/1935,,
106,Bobs Garden,Siskiyou,"Curry, OR",4325,42.6399,123.923113,T34S_R10W_S6_WM,"Marial, OR",_,6/26/1937,,
107,Bodie Mtn,Colville,"Okanogan, WA",5739,48.82732,118.832624,T38N_R32E_S6_WM,"Bodie Mountain, WA",J.B.H.,11/1/1930,,
108,Bogachiel Peak,Olympic,"Clallam, WA",5474,47.90524,123.777241,T28N_R8W_S_WM,"Bogachiel Peak, WA",COOPER,6/15/1935,,
109,Bolan Pk,Siskiyou,"Josephine, OR",6269,42.015945,123.459114,T41S_R6W_S7_WM,"Oregon Caves, OR",SNYDER,5/4/1934,,
110,Bone Pt,Whitman,"Grant, OR",4527,44.98547,119.030209,T7S_R31E_S6_WM,"Meadow Brook Summit, OR",ARNST,7/24/1935,,
111,Bone Spr,Umatilla,"Wallowa, OR",5876,45.87732,117.946963,T5N_R39E_S28_WM,"Bone Spring, OR",ARNST,8/4/1935,,
112,Bonney Bu,Mt. Hood,"Hood River, OR",5500,45.262335,121.592539,T3S_R10E_S31_WM,"Badger Lake, OR",COOPER,9/19/1933,,
113,Borealis Rg,Wenatchee,"Chelan, WA",7653,48.112164,120.684138,T30N_R17E_S11_WM,"Saska Peak, WA",R.R.S.,9/7/1934,,
114,Bosley Bu,Siskiyou,"Curry, OR",3432,42.208725,124.224643,T39S_R13W_S10_WM,"Bosley Butte, OR",_,9/9/1936,,
115,Boulder,Olympic,"Clallam, WA",5600,47.97145,123.757439,T29N_R8W_S_WM,"Bogachiel Peak, WA",L. MOE,7/30/1936,,
116,Boulder Butte,Chelan,"Chelan, WA",7356,48.322715,120.598756,T33N_R18E_S34_WM,"Sun Mountain, WA",J.D.R.,9/14/1934,,
117,Brandy Pk,Siskiyou,"Curry, OR",5298,42.5972,123.880056,T34S_R10W_S21_WM,"Brandy Peak, OR",_,9/11/1936,,
118,Broken Top,Deschutes,"Deschutes, OR",7732,44.09315,121.643476,T17S_R9E_S19_WM,"Broken Top, OR",HUNTER,1/30/1934,,
119,Brumback,Wallowa,"Wallowa, OR",5486,45.545465,116.992607,T1N_R47E_S19_WM,"Findley Buttes, OR",ARNST,8/19/1935,,
120,Brushy Bald,Siskiyou,"Curry, OR",2517,42.544065,124.32256,T35S_R14W_S14_WM,"Brushy Bald Mountain, OR",RITTENHOUSE-ARNST,4/5/1934,,
121,Buck Mtn,Willamette,"Lane, OR",4768,44.22979,122.304921,T15S_R4E_S27_WM,"Blue River, OR",SARLIN,5/9/1934,,
122,Buck Mtn,Chelan,"Okanogan, WA",6125,48.436355,119.823581,T34N_R24E_S21_WM,"Buck Mountain, WA",R.L.C.,9/8/1934,,
123,Buck Pk,Mt. Hood,"Multnomah, OR",4751,45.49836,121.859435,T1S_R8E_S8_WM,"Bull Run Lake, OR",MOE-SARLIN,11/9/1933,,
124,Buck Pk,Rogue River,"Klamath, OR",6081,42.27902,122.120904,T38S_R6E_S9_WM,"Aspen Lake, OR",COOPER,8/24/1933,,
125,Buck Rk,Rogue River,"Jackson, OR",3943,42.70547,122.810008,T33S_R1W_S15_WM,"Trail, OR",_,5/10/1934,,
126,Buckhorn Mtn,Colville,"Okanogan, WA",5602,48.94574,118.986044,T40N_R30E_S24_WM,"Buckhorn Mountain, WA",A.A.,9/16/1934,,
127,Buckhorn Spr,Wallowa,"Wallowa, OR",5331,45.75407,116.822812,T3N_R48E_S8_WM,"Deadhorse Ridge, OR",ARNST,8/17/1935,,
128,Buckskin Bu,Mt. Hood,"Clackamas, OR",4080,45.066475,121.718628,T6S_R9E_S7_WM,"Mount Wilson, OR",COOPER,10/12/1933,,
129,Bull Of The Woods,Mt. Hood,"Marion, OR",5523,44.8843,122.095372,T8S_R6E_S17_WM,"Bull of the Woods, OR",SARLIN,7/2/1934,,
130,Bull Run Rk,Whitman,"Baker, OR",7873,44.3247,118.2828,T14S_R36E_S27_WM,"Bullrun Rock, OR",_,9/9/1935,,
131,"Bunch Grass, Little",Willamette,"Lane, OR",5311,43.7381,122.268621,T21S_R5E_S19_WM,"McCredie Springs, OR",_,7/3/1937,,
132,Bunker Hill,Chelan,"Okanogan, WA",7239,48.97363,120.483683,T40N_R19E_S9_WM,"Ashnola Mountain, WA",R.L.C.,9/19/1934,,
133,Bunker Hill,Gifford Pinchot,"Skamania, WA",2380,45.81601,121.930691,T4N_R7E_S22_WM,"Stabler, WA",RITTENHOUSE,7/13/1934,,
134,Burch Mtn,Chelan,"Okanogan, WA",7782,48.79663,120.304803,T38N_R20E_S14_WM,"Billy Goat Mountain, WA",J.D.R.,9/3/1934,,
135,Burch Mtn,Wenatchee,"Chelan, WA",4726,47.549608,120.370337,T24N_R20E_S30_WM,"Cashmere, WA",A.A.,8/23/1934,,
136,Burch Rg,Wenatchee,"Chelan, WA",4850,47.578437,120.392302,T24N_R19E_S13_WM,"Cashmere, WA",A.A.,8/25/1934,,
